Concept,attribute,num of matching properties,
badmintonplayers,height,13,cm
badmintonplayers,weight,11,kg
basketballplayers,height,13,cm
basketballplayers,weight,11,kg
boxers,height,13,cm
boxers,weight,11,kg
cyclists,height,13,cm
cyclists,weight,11,kg
golfplayers2,height,13,cm
golfplayers3,weight,11,kg
gymnasts,height,13,cm
gymnasts,weight,11,kg
handballplayers,height,13,cm
handballplayers,weight,11,kg
mountains,altitude,,
Olympic Games,year,1,
Olympic Games,events,2,
Olympic Games,athletes,1,
