,,,,Class,Property
"2.51000,2.51000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/koLosses",2.51,2.51,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/koLosses,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/koLosses
"2.40000,2.40000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/rows",2.4,2.4,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/rows,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/rows
"212.32000,212.32000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/imagesize",212.32,212.32,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/imagesize,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/imagesize
"232.20000,232.20000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/imageSize",232.2,232.2,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/imageSize
"345.93634,345.93634,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/height",345.93634,345.93634,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/height,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/height
"1973.82500,1973.82500,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/deathDate",1973.825,1973.825,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/deathDate,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/deathDate
"1.17308,1.17308,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/nc",1.17308,1.17308,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/nc,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/nc
"1.21154,1.21154,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/dqWins",1.21154,1.21154,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/dqWins,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/dqWins
"2087.20000,2087.20000,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/birthDate",2087.2,2087.2,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/property/birthDate,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/property/birthDate
"1067626.46154,1067626.46154,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/imdbId",1067626.462,1067626.462,http://dbpedia.org/ontology/Boxer - http://dbpedia.org/ontology/imdbId,http://dbpedia.org/ontology/Boxer , http://dbpedia.org/ontology/imdbId
"726425206.84000,726425206.84000,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/wikiPageRevisionID",726425206.8,726425206.8,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/ontology/wikiPageRevisionID
"22749890.92000,22749890.92000,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/wikiPageID",22749890.92,22749890.92,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/wikiPageID,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/ontology/wikiPageID
"1994.75000,1994.75000,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/proyears",1994.75,1994.75,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/proyears,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/property/proyears
"1.76195,1.76195,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/height",1.76195,1.76195,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/ontology/height
"176.19480,176.19480,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/Person/height",176.1948,176.1948,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/ontology/Person/height
"68.22361,68.22361,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/Person/weight",68.22361,68.22361,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/ontology/Person/weight
"68223.60800,68223.60800,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/weight",68223.608,68223.608,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/ontology/weight,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/ontology/weight
"1999.35106,1999.35106,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/amateuryears",1999.35106,1999.35106,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/amateuryears,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/property/amateuryears
"237.35354,237.35354,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/imageSize",237.35354,237.35354,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/property/imageSize
"24243390128259.27734,24243390128259.27734,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/years",2.42434E+13,2.42434E+13,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/years,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/property/years
"1903.22826,1903.22826,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/birthDate",1903.22826,1903.22826,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/birthDate,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/property/birthDate
"2000.87879,2000.87879,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/manageyears",2000.87879,2000.87879,http://dbpedia.org/ontology/Cyclist - http://dbpedia.org/property/manageyears,http://dbpedia.org/ontology/Cyclist , http://dbpedia.org/property/manageyears
"733891228.70000,733891228.70000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/wikiPageRevisionID",733891228.7,733891228.7,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/ontology/wikiPageRevisionID
"19506735.25000,19506735.25000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/wikiPageID",19506735.25,19506735.25,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/wikiPageID,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/ontology/wikiPageID
"10.41000,10.41000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/prowins",10.41,10.41,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/prowins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/prowins
"1.77507,1.77507,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/height",1.77507,1.77507,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/ontology/height
"177.50710,177.50710,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/Person/height",177.5071,177.5071,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/ontology/Person/height
"1991.71000,1991.71000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/yearpro",1991.71,1991.71,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/yearpro,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/yearpro
"80.75093,80.75093,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/Person/weight",80.75093,80.75093,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/ontology/Person/weight
"80750.92800,80750.92800,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/weight",80750.928,80750.928,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/ontology/weight,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/ontology/weight
"4.17172,4.17172,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/otherwins",4.17172,4.17172,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/otherwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/otherwins
"3.74490,3.74490,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/pgawins",3.7449,3.7449,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/pgawins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/pgawins
"276720546979620992.00000,276720546979620992.00000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/year",2.76721E+17,2.76721E+17,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/year,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/year
"1.91919,1.91919,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/nwidewins",1.91919,1.91919,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/nwidewins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/nwidewins
"2.30303,2.30303,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/eurowins",2.30303,2.30303,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/eurowins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/eurowins
"216.05000,216.05000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/imagesize",216.05,216.05,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/imagesize,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/imagesize
"2.07955,2.07955,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/majorwins",2.07955,2.07955,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/majorwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/majorwins
"2.92000,2.92000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/lpgawins",2.92,2.92,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/lpgawins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/lpgawins
"2.65000,2.65000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/japwins",2.65,2.65,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/japwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/japwins
"1.74000,1.74000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/chalwins",1.74,1.74,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/chalwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/chalwins
"4.54082,4.54082,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/champwins",4.54082,4.54082,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/champwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/champwins
"1996.73000,1996.73000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/retired",1996.73,1996.73,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/retired,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/retired
"2.35000,2.35000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/asiawins",2.35,2.35,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/asiawins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/asiawins
"6.21212,6.21212,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/sunwins",6.21212,6.21212,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/sunwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/sunwins
"1993.02000,1993.02000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/wghofyear",1993.02,1993.02,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/wghofyear,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/wghofyear
"5.03061,5.03061,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/auswins",5.03061,5.03061,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/auswins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/auswins
"2.88000,2.88000,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/letwins",2.88,2.88,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/letwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/letwins
"3.22222,3.22222,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/seneurowins",3.22222,3.22222,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/seneurowins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/seneurowins
"2.27660,2.27660,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/futwins",2.2766,2.2766,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/futwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/futwins
"10.92063,10.92063,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/jlpgawins",10.92063,10.92063,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/jlpgawins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/jlpgawins
"216.17647,216.17647,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/imageSize",216.17647,216.17647,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/imageSize
"2.58537,2.58537,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/alpgwins",2.58537,2.58537,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/alpgwins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/alpgwins
"5.54286,5.54286,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/klpgawins",5.54286,5.54286,http://dbpedia.org/ontology/GolfPlayer - http://dbpedia.org/property/klpgawins,http://dbpedia.org/ontology/GolfPlayer , http://dbpedia.org/property/klpgawins
"730986403.34000,730986403.34000,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/wikiPageRevisionID",730986403.3,730986403.3,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/ontology/wikiPageRevisionID
"20361725.47000,20361725.47000,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/wikiPageID",20361725.47,20361725.47,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/wikiPageID,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/ontology/wikiPageID
"1922.23404,1922.23404,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/natlteam",1922.23404,1922.23404,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/natlteam,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/natlteam
"11637.91919,11637.91919,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/id",11637.91919,11637.91919,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/id,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/id
"1.61804,1.61804,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/height",1.61804,1.61804,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/ontology/height
"161.80380,161.80380,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/Person/height",161.8038,161.8038,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/ontology/Person/height
"52.37200,52.37200,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/Person/weight",52.372,52.372,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/ontology/Person/weight
"52372.00000,52372.00000,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/weight",52372,52372,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/ontology/weight,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/ontology/weight
"2000.31429,2000.31429,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/retired",2000.31429,2000.31429,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/retired,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/retired
"187.42424,187.42424,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/imagesize",187.42424,187.42424,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/imagesize,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/imagesize
"2011.04255,2011.04255,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/music",2011.04255,2011.04255,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/music,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/music
"16.47872,16.47872,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/worldranking",16.47872,16.47872,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/worldranking,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/worldranking
"210.81967,210.81967,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/imageSize",210.81967,210.81967,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/imageSize
"257.51444,257.51444,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/height",257.51444,257.51444,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/height,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/height
"10297440706.84615,10297440706.84615,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/years",10297440707,10297440707,http://dbpedia.org/ontology/Gymnast - http://dbpedia.org/property/years,http://dbpedia.org/ontology/Gymnast , http://dbpedia.org/property/years
"730563477.53000,730563477.53000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/wikiPageRevisionID",730563477.5,730563477.5,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/wikiPageRevisionID,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/wikiPageRevisionID
"28133483.37000,28133483.37000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/wikiPageID",28133483.37,28133483.37,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/wikiPageID,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/wikiPageID
"1.84470,1.84470,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/height",1.8447,1.8447,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/height,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/height
"184.47000,184.47000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/Person/height",184.47,184.47,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/Person/height
"109.40404,109.40404,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/nationalcaps(goals)_",109.40404,109.40404,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/nationalcaps(goals)_,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/nationalcaps(goals)_
"19.66667,19.66667,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/clubnumber",19.66667,19.66667,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/clubnumber,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/clubnumber
"2002.43000,2002.43000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/year",2002.43,2002.43,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/year,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/year
"82.82000,82.82000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/Person/weight",82.82,82.82,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/Person/weight
"82820.00000,82820.00000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/weight",82820,82820,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/ontology/weight,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/ontology/weight
"2002.72727,2002.72727,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/nationalyears",2002.72727,2002.72727,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/nationalyears,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/nationalyears
"1820.63235,1820.63235,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/youthyears",1820.63235,1820.63235,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/youthyears,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/youthyears
"2002.90816,2002.90816,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/manageryears",2002.90816,2002.90816,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/manageryears,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/manageryears
"1828.96491,1828.96491,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/years",1828.96491,1828.96491,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/years,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/years
"245.00000,245.00000,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/imageSize",245,245,http://dbpedia.org/ontology/HandballPlayer - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/HandballPlayer , http://dbpedia.org/property/imageSize
"23127831.49000,23127831.49000,http://schema.org/Mountain - http://dbpedia.org/ontology/wikiPageID",23127831.49,23127831.49,http://schema.org/Mountain - http://dbpedia.org/ontology/wikiPageID,http://schema.org/Mountain , http://dbpedia.org/ontology/wikiPageID
"675147780.61000,675147780.61000,http://schema.org/Mountain - http://dbpedia.org/ontology/wikiPageRevisionID",675147780.6,675147780.6,http://schema.org/Mountain - http://dbpedia.org/ontology/wikiPageRevisionID,http://schema.org/Mountain , http://dbpedia.org/ontology/wikiPageRevisionID
"-19.84651,-19.84651,http://schema.org/Mountain - http://www.w3.org/2003/01/geo/wgs84_pos#long",-19.84651,-19.84651,http://schema.org/Mountain - http://www.w3.org/2003/01/geo/wgs84_pos#long,http://schema.org/Mountain , http://www.w3.org/2003/01/geo/wgs84_pos#long
"35.97525,35.97525,http://schema.org/Mountain - http://www.w3.org/2003/01/geo/wgs84_pos#lat",35.97525,35.97525,http://schema.org/Mountain - http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://schema.org/Mountain , http://www.w3.org/2003/01/geo/wgs84_pos#lat
"1609.70454,1609.70454,http://schema.org/Mountain - http://dbpedia.org/ontology/elevation",1609.70454,1609.70454,http://schema.org/Mountain - http://dbpedia.org/ontology/elevation,http://schema.org/Mountain , http://dbpedia.org/ontology/elevation
"41.68327,41.68327,http://schema.org/Mountain - http://dbpedia.org/property/latD",41.68327,41.68327,http://schema.org/Mountain - http://dbpedia.org/property/latD,http://schema.org/Mountain , http://dbpedia.org/property/latD
"8.07395,8.07395,http://schema.org/Mountain - http://dbpedia.org/property/longD",8.07395,8.07395,http://schema.org/Mountain - http://dbpedia.org/property/longD,http://schema.org/Mountain , http://dbpedia.org/property/longD
"30.72000,30.72000,http://schema.org/Mountain - http://dbpedia.org/property/latM",30.72,30.72,http://schema.org/Mountain - http://dbpedia.org/property/latM,http://schema.org/Mountain , http://dbpedia.org/property/latM
"29.11000,29.11000,http://schema.org/Mountain - http://dbpedia.org/property/longM",29.11,29.11,http://schema.org/Mountain - http://dbpedia.org/property/longM,http://schema.org/Mountain , http://dbpedia.org/property/longM
"25.15790,25.15790,http://schema.org/Mountain - http://dbpedia.org/property/longS",25.1579,25.1579,http://schema.org/Mountain - http://dbpedia.org/property/longS,http://schema.org/Mountain , http://dbpedia.org/property/longS
"29.21480,29.21480,http://schema.org/Mountain - http://dbpedia.org/property/latS",29.2148,29.2148,http://schema.org/Mountain - http://dbpedia.org/property/latS,http://schema.org/Mountain , http://dbpedia.org/property/latS
"635.05746,635.05746,http://schema.org/Mountain - http://dbpedia.org/ontology/prominence",635.05746,635.05746,http://schema.org/Mountain - http://dbpedia.org/ontology/prominence,http://schema.org/Mountain , http://dbpedia.org/ontology/prominence
"229.86000,229.86000,http://schema.org/Mountain - http://dbpedia.org/property/mapSize",229.86,229.86,http://schema.org/Mountain - http://dbpedia.org/property/mapSize,http://schema.org/Mountain , http://dbpedia.org/property/mapSize
"1820.97000,1820.97000,http://schema.org/Mountain - http://dbpedia.org/ontology/firstAscentYear",1820.97,1820.97,http://schema.org/Mountain - http://dbpedia.org/ontology/firstAscentYear,http://schema.org/Mountain , http://dbpedia.org/ontology/firstAscentYear
"270.98000,270.98000,http://schema.org/Mountain - http://dbpedia.org/property/photoSize",270.98,270.98,http://schema.org/Mountain - http://dbpedia.org/property/photoSize,http://schema.org/Mountain , http://dbpedia.org/property/photoSize
"913.54000,913.54000,http://schema.org/Mountain - http://dbpedia.org/ontology/eruptionYear",913.54,913.54,http://schema.org/Mountain - http://dbpedia.org/ontology/eruptionYear,http://schema.org/Mountain , http://dbpedia.org/ontology/eruptionYear
"96.88219,96.88219,http://schema.org/Mountain - http://dbpedia.org/property/isolation",96.88219,96.88219,http://schema.org/Mountain - http://dbpedia.org/property/isolation,http://schema.org/Mountain , http://dbpedia.org/property/isolation
"1.00000,1.00000,http://schema.org/Mountain - http://dbpedia.org/property/mapRelief",1,1,http://schema.org/Mountain - http://dbpedia.org/property/mapRelief,http://schema.org/Mountain , http://dbpedia.org/property/mapRelief
"1.00000,1.00000,http://schema.org/Mountain - http://dbpedia.org/property/relief",1,1,http://schema.org/Mountain - http://dbpedia.org/property/relief,http://schema.org/Mountain , http://dbpedia.org/property/relief
"6.59380,6.59380,http://schema.org/Mountain - http://dbpedia.org/property/isolationMi",6.5938,6.5938,http://schema.org/Mountain - http://dbpedia.org/property/isolationMi,http://schema.org/Mountain , http://dbpedia.org/property/isolationMi
"218.34000,218.34000,http://schema.org/Mountain - http://dbpedia.org/property/mapWidth",218.34,218.34,http://schema.org/Mountain - http://dbpedia.org/property/mapWidth,http://schema.org/Mountain , http://dbpedia.org/property/mapWidth
"5437.05937,5437.05937,http://schema.org/Mountain - http://dbpedia.org/property/elevation",5437.05937,5437.05937,http://schema.org/Mountain - http://dbpedia.org/property/elevation,http://schema.org/Mountain , http://dbpedia.org/property/elevation
"83.45360,83.45360,http://schema.org/Mountain - http://dbpedia.org/property/isolationKm",83.4536,83.4536,http://schema.org/Mountain - http://dbpedia.org/property/isolationKm,http://schema.org/Mountain , http://dbpedia.org/property/isolationKm
