,,,,Class,Property
"1975.45000,1975.45000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/activeYearsStartYear",1975.45,1975.45,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/activeYearsStartYear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/ontology/activeYearsStartYear
"1994.70000,1994.70000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/draftYear",1994.7,1994.7,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/draftYear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/ontology/draftYear
"16.97101,16.97101,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/number",16.97101,16.97101,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/number,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/ontology/number
"1995.84000,1995.84000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/activeYearsEndYear",1995.84,1995.84,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/activeYearsEndYear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/ontology/activeYearsEndYear
"34.69388,34.69388,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftPick",34.69388,34.69388,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftPick,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftPick
"2.32323,2.32323,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftRound",2.32323,2.32323,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftRound,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftRound
"2005.91837,2005.91837,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/years",2005.91837,2005.91837,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/years,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/years
"4338.90000,4338.90000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/stat1value",4338.9,4338.9,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/stat1value,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/stat1value
"2004.38384,2004.38384,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/stat2value",2004.38384,2004.38384,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/stat2value,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/stat2value
"946.19392,946.19392,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/stat3value",946.19392,946.19392,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/stat3value,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/stat3value
"195.05780,195.05780,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/Person/height",195.0578,195.0578,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/ontology/Person/height
"1991.35294,1991.35294,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/cyears",1991.35294,1991.35294,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/cyears,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/cyears
"1012287758.87000,1012287758.87000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/careerNumber",1012287759,1012287759,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/careerNumber,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/careerNumber
"229.38000,229.38000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/imageSize",229.38,229.38,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/imageSize,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/imageSize
"2000.16000,2000.16000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/coachStart",2000.16,2000.16,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/coachStart,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/coachStart
"183.76000,183.76000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/width",183.76,183.76,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/width,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/width
"2003.76000,2003.76000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftYearPba",2003.76,2003.76,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftYearPba,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftYearPba
"6.01000,6.01000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/ft",6.01,6.01,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/ft,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/ft
"5.48000,5.48000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/in",5.48,5.48,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/in,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/in
"195.49000,195.49000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/heightCm",195.49,195.49,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/heightCm,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/heightCm
"8.87879,8.87879,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftPickPba",8.87879,8.87879,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftPickPba,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftPickPba
"1.45000,1.45000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftRoundPba",1.45,1.45,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftRoundPba,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftRoundPba
"201.48000,201.48000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/weight",201.48,201.48,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/weight,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/weight
"5.99000,5.99000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/feet",5.99,5.99,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/feet,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/feet
"5.44750,5.44750,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/inches",5.4475,5.4475,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/inches,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/inches
"3.86000,3.86000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/rivalsStars",3.86,3.86,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/rivalsStars,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/rivalsStars
"4.01020,4.01020,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutStars",4.0102,4.0102,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutStars,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/scoutStars
"2010.74000,2010.74000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/year",2010.74,2010.74,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/year,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/year
"19591832220302.83203,19591832220302.83203,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/date",1.95918E+13,1.95918E+13,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/date,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/date
"25.26000,25.26000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/overall",25.26,25.26,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/overall,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/overall
"1995.11000,1995.11000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/season",1995.11,1995.11,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/season,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/season
"7.09211,7.09211,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/conference",7.09211,7.09211,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/conference,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/conference
"634107.20000,634107.20000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/coachEnd",634107.2,634107.2,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/coachEnd,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/coachEnd
"2010.27711,2010.27711,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutRefTitle",2010.27711,2010.27711,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutRefTitle,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/scoutRefTitle
"5.01493,5.01493,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/confstanding",5.01493,5.01493,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/confstanding,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/confstanding
"40.11111,40.11111,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/confrecord",40.11111,40.11111,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/confrecord,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/confrecord
"1990.62000,1990.62000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/startyear",1990.62,1990.62,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/startyear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/startyear
"164.25000,164.25000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutS",164.25,164.25,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutS,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/scoutS
"89.43158,89.43158,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnGrade",89.43158,89.43158,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnGrade,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/espnGrade
"2007.64000,2007.64000,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/cbbaskhofYear",2007.64,2007.64,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/cbbaskhofYear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/cbbaskhofYear
"456.30208,456.30208,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnSchoolid",456.30208,456.30208,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/espnSchoolid,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/espnSchoolid
"655.10588,655.10588,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutOverall",655.10588,655.10588,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/scoutOverall,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/scoutOverall
"2911.98810,2911.98810,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/rivalsOverall",2911.9881,2911.9881,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/rivalsOverall,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/rivalsOverall
"1990.68421,1990.68421,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/endyear",1990.68421,1990.68421,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/endyear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/endyear
"1982.08333,1982.08333,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftyear",1982.08333,1982.08333,http://dbpedia.org/ontology/BasketballPlayer - http://dbpedia.org/property/draftyear,http://dbpedia.org/ontology/BasketballPlayer , http://dbpedia.org/property/draftyear
