player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams,weight in kg
1,11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana,Active,175.26,69853.22498,69.85322498
2,23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA,Active,177.8,68038.8555,68.0388555
3,NA,D,Adaílton,Chicago Fire,31,6' 3'',180,Brazil,Active,190.5,81646.6266,81.6466266
4,3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England,Active,175.26,74842.74105,74.84274105
5,9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria,Active,193.04,83914.58845,83.91458845
6,13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada,Active,185.42,77110.7029,77.1107029
7,NA,M,Fatai Alashe,,21,6',170,USA,Active,182.88,77110.7029,77.1107029
8,12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA,Active,185.42,74842.74105,74.84274105
9,7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA,Active,180.34,72574.7792,72.5747792
10,6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba,Active,180.34,74842.74105,74.84274105
11,30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA,Active,172.72,72574.7792,72.5747792
12,24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA,Active,175.26,81646.6266,81.6466266
13,NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA,Active,182.88,83914.58845,83.91458845
14,NA,M,Bernardo Añor,Sporting Kansas City,26,5' 8'',158,Venezuela,Active,172.72,71667.59446,71.66759446
15,34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina,Active,167.64,67585.26313,67.58526313
16,5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain,Active,185.42,79378.66475,79.37866475
17,8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA,Active,180.34,72574.7792,72.5747792
18,NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica,Active,175.26,68038.8555,68.0388555
19,26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA,Active,165.1,69853.22498,69.85322498
20,NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia,Active,180.34,74842.74105,74.84274105
21,24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA,Active,187.96,86182.5503,86.1825503
22,42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda,Active,177.8,72574.7792,72.5747792
23,NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco,Active,180.34,76657.11053,76.65711053
24,26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA,Active,180.34,74842.74105,74.84274105
25,25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA,Active,185.42,79378.66475,79.37866475
26,23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England,Active,180.34,82100.21897,82.10021897
