"t"
8.6
27.4
15.9
31.1
9.5
9.9
22.6
6.8
7
7.4
7.5
3.4
6.5
17
28
31.3
27.8
23
27
28.2
7.9
31
6
6.1
6.6
6.8
7.1
7.2
7.5
27
19
11.4
10.9
11.7
3.5
30.1
16.1
31
9.6
27
21.7
31.4
32
30.3
13
30.1
27
29
26
27.8
15.9
19.4
18
23.9
7.8
