40844462_1_6230938203735169234, http://dbpedia.org/ontology/Film,1,0.05
73988811_0_2775758476756716904, http://dbpedia.org/ontology/Film,5,0.1
73988811_0_2775758476756716904, http://dbpedia.org/ontology/Film,3,0.1
73988811_0_2775758476756716904, http://dbpedia.org/ontology/Film,1,0.1
74718406_0_3914457597478137388, http://dbpedia.org/ontology/Airport,5,0.1
74718406_0_3914457597478137388, http://dbpedia.org/ontology/Airport,3,0.1
74718406_0_3914457597478137388, http://dbpedia.org/ontology/Airport,1,0.1
38390205_1_8150763005563658139, http://dbpedia.org/ontology/Hospital,5,0.1
38390205_1_8150763005563658139, http://dbpedia.org/ontology/Hospital,3,0.1
38390205_1_8150763005563658139, http://dbpedia.org/ontology/Hospital,1,0.05
12151277_0_1262954734066545952, http://dbpedia.org/ontology/Hospital,5, no results
12151277_0_1262954734066545952, http://dbpedia.org/ontology/Hospital,3, no results
12151277_0_1262954734066545952, http://dbpedia.org/ontology/Hospital,1, no results
76275868_0_4528346580716713695, http://dbpedia.org/ontology/Country,5,0.1
76275868_0_4528346580716713695, http://dbpedia.org/ontology/Country,3,0.05
76275868_0_4528346580716713695, http://dbpedia.org/ontology/Country,1,0.01
38732532_0_1420803645394505878, http://dbpedia.org/ontology/Monarch,5,0.001
38732532_0_1420803645394505878, http://dbpedia.org/ontology/Monarch,3,0.001
38732532_0_1420803645394505878, http://dbpedia.org/ontology/Monarch,1,0.002
76373906_0_6904594838446307331, http://dbpedia.org/ontology/PoliticalParty,5,0.1
76373906_0_6904594838446307331, http://dbpedia.org/ontology/PoliticalParty,3,0.1
76373906_0_6904594838446307331, http://dbpedia.org/ontology/PoliticalParty,1,0.05
 4501311_8_8306082458935575308, http://dbpedia.org/ontology/VideoGame,5,0.1
 4501311_8_8306082458935575308, http://dbpedia.org/ontology/VideoGame,3,0.1
 4501311_8_8306082458935575308, http://dbpedia.org/ontology/VideoGame,1,0.01
64734047_0_5880705307495695536, http://dbpedia.org/ontology/Hospital,5,0.1
64734047_0_5880705307495695536, http://dbpedia.org/ontology/Hospital,3,0.1
64734047_0_5880705307495695536, http://dbpedia.org/ontology/Hospital,1,0.05
12193237_0_8699643798888088574, http://dbpedia.org/ontology/Country,5,0.05
12193237_0_8699643798888088574, http://dbpedia.org/ontology/Country,3,0.05
12193237_0_8699643798888088574, http://dbpedia.org/ontology/Country,1,0.05
 9686394_0_5980699488362107028, http://dbpedia.org/ontology/Airport,5,0.1
 9686394_0_5980699488362107028, http://dbpedia.org/ontology/Airport,3,0.1
 9686394_0_5980699488362107028, http://dbpedia.org/ontology/Airport,1,0.1
24142265_0_4577466141408796359, http://dbpedia.org/ontology/VideoGame,5,0.1
24142265_0_4577466141408796359, http://dbpedia.org/ontology/VideoGame,3,0.1
24142265_0_4577466141408796359, http://dbpedia.org/ontology/VideoGame,1,0.01
53989675_0_8697482470743954630, http://dbpedia.org/ontology/Lake,5,0.1
53989675_0_8697482470743954630, http://dbpedia.org/ontology/Lake,3,0.1
53989675_0_8697482470743954630, http://dbpedia.org/ontology/Lake,1,0.01
19361188_0_1640726405141876003, http://dbpedia.org/ontology/Mountain,5,0.1
19361188_0_1640726405141876003, http://dbpedia.org/ontology/Mountain,3,0.1
19361188_0_1640726405141876003, http://dbpedia.org/ontology/Mountain,1,0.1
47709681_0_4437772923903322343, http://dbpedia.org/ontology/VideoGame,5,0.1
47709681_0_4437772923903322343, http://dbpedia.org/ontology/VideoGame,3,0.1
47709681_0_4437772923903322343, http://dbpedia.org/ontology/VideoGame,1,0.01
43226272_0_5995103035300388365, http://dbpedia.org/ontology/Hospital,5,0.1
43226272_0_5995103035300388365, http://dbpedia.org/ontology/Hospital,3,0.1
43226272_0_5995103035300388365, http://dbpedia.org/ontology/Hospital,1,0.05
78005071_0_8643954006825971723, http://dbpedia.org/ontology/PoliticalParty,5,0.1
78005071_0_8643954006825971723, http://dbpedia.org/ontology/PoliticalParty,3,0.1
78005071_0_8643954006825971723, http://dbpedia.org/ontology/PoliticalParty,1,0.1
13719111_1_5719401842463579519, http://dbpedia.org/ontology/Bird,5,0.1
13719111_1_5719401842463579519, http://dbpedia.org/ontology/Bird,3,0.1
13719111_1_5719401842463579519, http://dbpedia.org/ontology/Bird,1,0.1
84548468_0_5955155464119382182, http://dbpedia.org/ontology/Film,5,0.1
84548468_0_5955155464119382182, http://dbpedia.org/ontology/Film,3,0.1
84548468_0_5955155464119382182, http://dbpedia.org/ontology/Film,1,0.1
70515524_0_5425995199745290007, http://dbpedia.org/ontology/Monarch,5, alpha outside the scope
70515524_0_5425995199745290007, http://dbpedia.org/ontology/Monarch,3, alpha outside the scope
70515524_0_5425995199745290007, http://dbpedia.org/ontology/Monarch,1, alpha outside the scope
41819807_0_3139249984404131679, http://dbpedia.org/ontology/Lake,5,0.1
41819807_0_3139249984404131679, http://dbpedia.org/ontology/Lake,3,0.1
41819807_0_3139249984404131679, http://dbpedia.org/ontology/Lake,1,0.05
63450419_0_8012592961815711786, http://dbpedia.org/ontology/Plant,5,0.1
63450419_0_8012592961815711786, http://dbpedia.org/ontology/Plant,3,0.1
63450419_0_8012592961815711786, http://dbpedia.org/ontology/Plant,1,0.1
32051842_5_1757891723986774036, http://dbpedia.org/ontology/Museum,5,0.1
32051842_5_1757891723986774036, http://dbpedia.org/ontology/Museum,3,0.1
32051842_5_1757891723986774036, http://dbpedia.org/ontology/Museum,1,0.01
88732174_0_7321365014357502211, http://dbpedia.org/ontology/BaseballPlayer,5,0.1
88732174_0_7321365014357502211, http://dbpedia.org/ontology/BaseballPlayer,3,0.1
88732174_0_7321365014357502211, http://dbpedia.org/ontology/BaseballPlayer,1,0.1
98312357_0_6395417306876145729, http://dbpedia.org/ontology/Monarch,5,0.01
98312357_0_6395417306876145729, http://dbpedia.org/ontology/Monarch,3,0.005
98312357_0_6395417306876145729, http://dbpedia.org/ontology/Monarch,1,0.005
55961337_0_6548713781034932742, http://dbpedia.org/ontology/Currency,5,0.01
55961337_0_6548713781034932742, http://dbpedia.org/ontology/Currency,3,0.01
55961337_0_6548713781034932742, http://dbpedia.org/ontology/Currency,1,0.01
74685423_0_8061289760697103949, http://dbpedia.org/ontology/Bird,5,0.1
74685423_0_8061289760697103949, http://dbpedia.org/ontology/Bird,3,0.1
74685423_0_8061289760697103949, http://dbpedia.org/ontology/Bird,1,0.1
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2, http://dbpedia.org/ontology/Cricketer,5, alpha outside the scope
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2, http://dbpedia.org/ontology/Cricketer,3, alpha outside the scope
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2, http://dbpedia.org/ontology/Cricketer,1, alpha outside the scope
39107734_2_2329160387535788734, http://dbpedia.org/ontology/Airport,5,0.1
39107734_2_2329160387535788734, http://dbpedia.org/ontology/Airport,3,0.1
39107734_2_2329160387535788734, http://dbpedia.org/ontology/Airport,1,0.1
41648740_0_6959523681065295632, http://dbpedia.org/ontology/Country,5, alpha outside the scope
41648740_0_6959523681065295632, http://dbpedia.org/ontology/Country,3, alpha outside the scope
41648740_0_6959523681065295632, http://dbpedia.org/ontology/Country,1, alpha outside the scope
 8009320_0_5507755752653817624, http://dbpedia.org/ontology/Country,5,0.05
 8009320_0_5507755752653817624, http://dbpedia.org/ontology/Country,3,0.05
 8009320_0_5507755752653817624, http://dbpedia.org/ontology/Country,1,0.01
  4444204_0_951426790527152756, http://dbpedia.org/ontology/City,5,0.011
  4444204_0_951426790527152756, http://dbpedia.org/ontology/City,3,0.015
  4444204_0_951426790527152756, http://dbpedia.org/ontology/City,1,0.026
86297395_0_6919201319699354263, http://dbpedia.org/ontology/Country,5,0.01
86297395_0_6919201319699354263, http://dbpedia.org/ontology/Country,3,0.01
86297395_0_6919201319699354263, http://dbpedia.org/ontology/Country,1,0.01
29021592_4_4348860179678308511, http://dbpedia.org/ontology/Monarch,5,0.1
29021592_4_4348860179678308511, http://dbpedia.org/ontology/Monarch,3,0.1
29021592_4_4348860179678308511, http://dbpedia.org/ontology/Monarch,1,0.1
39650055_5_7135804139753401681, http://dbpedia.org/ontology/Company,5, alpha outside the scope
39650055_5_7135804139753401681, http://dbpedia.org/ontology/Company,3, alpha outside the scope
39650055_5_7135804139753401681, http://dbpedia.org/ontology/Company,1, alpha outside the scope
25404227_0_2240631045609013057, http://dbpedia.org/ontology/Film,5,0.1
25404227_0_2240631045609013057, http://dbpedia.org/ontology/Film,3,0.1
25404227_0_2240631045609013057, http://dbpedia.org/ontology/Film,1,0.1
37541068_1_1156932518917623732, http://dbpedia.org/ontology/BaseballPlayer,5,0.1
37541068_1_1156932518917623732, http://dbpedia.org/ontology/BaseballPlayer,3,0.1
37541068_1_1156932518917623732, http://dbpedia.org/ontology/BaseballPlayer,1,0.1
11688006_0_8123036130090004213, http://dbpedia.org/ontology/Country,5,0.05
11688006_0_8123036130090004213, http://dbpedia.org/ontology/Country,3,0.05
